Seconds,Volts
4.220637E-05, -0.1372614
4.221641E-05, -0.1773956
4.222646E-05, -0.1636422
4.22365E-05, -0.1963043
4.224655E-05, -0.1597335
4.225659E-05, -0.2665157
4.226663E-05, -0.2584612
4.227668E-05, -0.2942858
4.228672E-05, -0.3405789
4.229677E-05, -0.2782967
4.230681E-05, -0.3683488
4.231686E-05, -0.3319731
4.23269E-05, -0.3709852
4.233694E-05, -0.2598701
4.234699E-05, -0.3776679
4.235703E-05, -0.3135225
4.236708E-05, -0.3368468
4.237712E-05, -0.4713472
4.238716E-05, -0.373758
4.239721E-05, -0.3963725
4.240725E-05, -0.4655328
4.24173E-05, -0.4154131
4.242734E-05, -0.5098303
4.243739E-05, -0.4179759
4.244743E-05, -0.5401429
4.245748E-05, -0.4741371
4.246752E-05, -0.4756969
4.247756E-05, -0.6193123
4.248761E-05, -0.478498
4.249765E-05, -0.5352225
4.25077E-05, -0.5838414
4.251774E-05, -0.5580596
4.252779E-05, -0.5827093
4.253783E-05, -0.6935074
4.254788E-05, -0.5514553
4.255792E-05, -0.6749768
4.256796E-05, -0.653137
4.257801E-05, -0.6708493
4.258805E-05, -0.6617078
4.25981E-05, -0.7871691
4.260814E-05, -0.7932891
4.261819E-05, -0.7033627
4.262823E-05, -0.7907981
4.263828E-05, -0.7094311
4.264832E-05, -0.7257063
4.265836E-05, -0.8643848
4.266841E-05, -0.8209546
4.267845E-05, -0.7565538
4.268849E-05, -0.7974698
4.269854E-05, -0.8774461
4.270858E-05, -0.8683514
4.271863E-05, -0.9577798
4.272867E-05, -0.911017
4.273872E-05, -0.9367296
4.274876E-05, -0.8644722
4.275881E-05, 0.3923158
4.276885E-05, 0.9316491
4.277889E-05, 0.8655306
4.278894E-05, 0.7951927
4.279898E-05, 0.8741992
4.280903E-05, 0.889763
4.281907E-05, 0.875878
4.282912E-05, 0.7586346
4.283916E-05, 0.8186592
4.284921E-05, 0.7645835
4.285925E-05, 0.8245573
4.286929E-05, 0.8316602
4.287934E-05, 0.794924
4.288938E-05, 0.6544649
4.289943E-05, 0.6842507
4.290947E-05, 0.6479185
4.291952E-05, 0.7758073
4.292956E-05, 0.6546593
